label,date,confirmed,recovered,deaths,delta_confirmed,delta_recovered,delta_deaths
europe,20200125,3,0,0,3,0,0
europe,20200126,3,0,0,0,0,0
europe,20200127,4,0,0,1,0,0
europe,20200128,8,0,0,4,0,0
europe,20200129,10,0,0,2,0,0
europe,20200130,11,0,0,1,0,0
europe,20200131,20,0,0,9,0,0
europe,20200201,23,0,0,3,0,0
europe,20200202,25,0,0,2,0,0
europe,20200203,27,0,0,2,0,0
europe,20200204,28,0,0,2,0,0
europe,20200205,28,0,0,0,0,0
europe,20200206,29,0,0,1,0,0
europe,20200207,32,0,0,3,0,0
europe,20200208,37,2,0,5,2,0
europe,20200209,38,2,0,1,0,0
europe,20200210,43,2,0,5,0,0
europe,20200211,45,3,0,2,1,0
europe,20200212,46,5,0,2,2,0
europe,20200213,46,6,0,0,1,0
europe,20200214,46,13,0,0,7,0
europe,20200215,47,14,1,1,1,1
europe,20200216,47,14,1,0,0,0
europe,20200217,47,20,1,0,6,0
europe,20200218,47,23,1,0,3,0
europe,20200219,47,24,1,0,1,0
europe,20200220,47,24,1,0,0,0
europe,20200221,64,25,2,17,1,1
europe,20200222,106,28,3,42,4,1
europe,20200223,199,28,4,93,1,1
europe,20200224,277,35,8,78,7,4
europe,20200225,383,37,11,106,2,3
europe,20200226,541,37,14,158,1,3
europe,20200227,806,38,19,266,1,5
europe,20200228,1135,38,23,329,0,4
europe,20200229,1499,39,31,364,1,8
europe,20200301,2220,39,36,721,0,5
europe,20200302,2755,38,55,535,0,19
europe,20200303,3410,35,85,655,0,30
europe,20200304,4466,34,115,1056,0,30
europe,20200305,5821,33,161,1355,0,46
europe,20200306,7568,29,218,1747,0,57
europe,20200307,9716,28,264,2148,0,46
europe,20200308,12197,27,415,2481,0,151
europe,20200309,15085,30,525,2953,3,110
europe,20200310,18726,33,723,3641,7,198
europe,20200311,24022,44,966,5296,12,243
europe,20200312,25504,55,976,1482,11,10
europe,20200313,37391,87,1529,11887,34,553
