label,date,confirmed,recovered,deaths,delta_confirmed,delta_recovered,delta_deaths
germany,20200127,1,0,0,1,0,0
germany,20200128,4,0,0,3,0,0
germany,20200129,4,0,0,0,0,0
germany,20200130,5,0,0,1,0,0
germany,20200131,7,0,0,2,0,0
germany,20200201,8,0,0,1,0,0
germany,20200202,8,0,0,0,0,0
germany,20200203,10,0,0,2,0,0
germany,20200204,11,0,0,1,0,0
germany,20200205,11,0,0,0,0,0
germany,20200206,12,0,0,1,0,0
germany,20200207,13,0,0,1,0,0
germany,20200208,13,0,0,0,0,0
germany,20200209,13,0,0,0,0,0
germany,20200210,13,0,0,0,0,0
germany,20200211,15,0,0,2,0,0
germany,20200212,16,0,0,1,0,0
germany,20200213,16,1,0,0,1,0
germany,20200214,16,1,0,0,0,0
germany,20200215,16,1,0,0,0,0
germany,20200216,16,1,0,0,0,0
germany,20200217,16,7,0,0,6,0
germany,20200218,16,9,0,0,2,0
germany,20200219,16,10,0,0,1,0
germany,20200220,16,10,0,0,0,0
germany,20200221,16,11,0,0,1,0
germany,20200222,16,11,0,0,0,0
germany,20200223,16,11,0,0,0,0
germany,20200224,16,12,0,0,1,0
germany,20200225,19,13,0,3,1,0
germany,20200226,26,13,0,7,0,0
germany,20200227,47,14,0,21,1,0
germany,20200228,89,14,0,42,0,0
germany,20200229,112,14,0,23,0,0
germany,20200301,147,14,0,35,0,0
germany,20200302,184,14,0,37,0,0
germany,20200303,247,14,0,63,0,0
germany,20200304,390,14,1,143,0,1
germany,20200305,564,14,2,174,0,1
germany,20200306,724,14,3,160,0,1
germany,20200307,864,14,5,140,0,2
germany,20200308,975,14,5,111,0,0
germany,20200309,1282,14,6,307,0,1
germany,20200310,1799,18,8,517,4,2
germany,20200311,2484,25,11,685,7,3
germany,20200312,3400,25,15,916,0,4
germany,20200313,4717,46,19,1317,21,4
germany,20200314,5904,46,21,1187,0,2
germany,20200315,6865,46,23,961,0,2
germany,20200316,8919,67,28,2054,21,5
germany,20200317,11518,71,39,2599,4,11
germany,20200318,14688,105,45,3170,34,6
germany,20200319,17355,115,55,2667,10,10
germany,20200320,20091,180,69,2736,65,14
germany,20200321,22532,239,84,2441,59,15
germany,20200322,25580,266,101,3048,27,17
germany,20200323,30083,453,138,4503,187,37
germany,20200324,34041,921,174,3968,468,36
germany,20200325,37856,1247,210,3815,326,36
germany,20200326,44829,1678,281,6973,431,71
germany,20200327,50804,2932,348,5975,1254,67
germany,20200328,55723,3781,427,4919,849,79
germany,20200329,59949,4591,480,4226,810,53
germany,20200330,63751,6062,612,3802,1471,132
germany,20200331,68896,9176,757,5145,3114,145
germany,20200401,75071,12975,906,6175,3799,149
germany,20200402,81448,16690,1054,6377,3715,148
germany,20200403,87366,20281,1206,5918,3591,152
germany,20200404,93440,21444,1390,6074,1163,184
germany,20200405,97586,21769,1460,4146,325,86
germany,20200406,100929,29131,1687,3344,7362,227
germany,20200407,105026,34287,1945,4097,5156,258
germany,20200408,110041,43656,2180,5015,9369,235
germany,20200409,115444,47907,2438,5403,4251,258
germany,20200410,119769,51480,2624,4325,3573,186
germany,20200411,122613,53690,2761,2844,2210,137
germany,20200412,125219,55760,2897,2606,2070,136
germany,20200413,127656,58425,3085,2437,2665,188
germany,20200414,129734,61181,3366,2078,2756,281
germany,20200415,132665,66120,3684,2931,4939,318
germany,20200416,135684,70511,3971,3019,4391,287
germany,20200417,139081,76625,4214,3397,6114,243
germany,20200418,141518,79646,4402,2437,3021,188
germany,20200419,143327,81747,4500,1809,2101,98
germany,20200420,144451,86541,4647,1313,4794,157
germany,20200421,146492,88809,4929,2041,2268,282
germany,20200422,148786,93746,5154,2294,4937,227
germany,20200423,151192,96922,5395,2406,3176,241
germany,20200424,153338,100722,5566,2146,3800,171
germany,20200425,155708,103286,5796,2370,2564,230
germany,20200426,156289,107679,5804,581,4393,8
germany,20200427,157019,109595,5961,988,1916,157
germany,20200428,158344,111920,6167,1325,2325,206
germany,20200429,159822,115463,6337,1478,3543,170
germany,20200430,161407,118903,6527,1585,3440,190
germany,20200501,162532,122506,6633,1125,3603,106
germany,20200502,163275,125622,6708,743,3116,75
germany,20200503,163887,127087,6750,612,1465,42
germany,20200504,164625,129332,6893,738,2245,143
germany,20200505,165460,135278,7048,835,5946,155
germany,20200506,166712,137696,7169,1252,2418,121
germany,20200507,167883,140004,7302,1171,2308,133
germany,20200508,169128,141936,7415,1247,1932,113
germany,20200509,169899,143370,7445,771,1434,30
germany,20200510,170394,144575,7472,495,1205,27
germany,20200511,171000,145617,7583,606,1042,111
germany,20200512,171772,147298,7690,772,1681,107
germany,20200513,172693,148024,7778,921,726,88
germany,20200514,173561,150177,7863,868,2153,85
germany,20200515,174202,151597,7926,641,1420,63
germany,20200516,174800,151991,7958,603,415,32
germany,20200517,175158,153554,7983,358,1563,25
germany,20200518,175664,154717,8055,506,1163,72
germany,20200519,176424,155158,8130,760,791,75
germany,20200520,177129,156678,8186,705,1520,56
germany,20200521,177692,157937,8218,564,1259,34
germany,20200522,178219,159014,8254,528,1077,36
germany,20200523,178676,159509,8284,457,652,30
germany,20200524,178977,160074,8294,301,565,10
germany,20200525,179366,160994,8342,392,920,48
germany,20200526,179770,161762,8393,404,768,51
germany,20200527,180505,162718,8467,735,956,75
germany,20200528,181019,163258,8491,547,540,24
germany,20200529,181606,164245,8529,587,987,38
germany,20200530,181874,164908,8543,268,663,14
germany,20200531,182149,165352,8551,275,444,8
germany,20200601,182400,165632,8565,251,280,14
germany,20200602,182690,166609,8586,290,977,23
germany,20200603,183068,167453,8624,380,844,40
germany,20200604,183545,167909,8649,477,456,25
germany,20200605,183864,168480,8675,365,571,26
germany,20200606,184146,168958,8684,301,478,11
germany,20200607,184347,169224,8689,201,266,5
germany,20200608,184693,169556,8729,348,332,40
germany,20200609,185020,170129,8748,327,573,19
germany,20200610,185568,170630,8770,548,501,23
germany,20200611,185843,170961,8777,285,331,7
