label,date,confirmed,recovered,deaths,delta_confirmed,delta_recovered,delta_deaths
world,20200122,555,0,17,555,0,17
world,20200123,653,0,18,99,0,1
world,20200124,939,0,26,286,0,8
world,20200125,1435,0,42,496,0,16
world,20200126,2117,0,56,682,0,14
world,20200127,2928,0,82,811,0,26
world,20200128,5579,0,131,2651,0,49
world,20200129,6167,0,133,588,0,2
world,20200130,8237,0,171,2070,0,38
world,20200131,9930,0,213,1693,0,42
world,20200201,12039,0,259,2109,0,46
world,20200202,16788,0,362,4749,0,103
world,20200203,19882,0,426,3094,0,64
world,20200204,23893,0,492,4011,0,66
world,20200205,27637,8,564,3744,8,72
world,20200206,30820,18,634,3183,11,70
world,20200207,34394,178,719,3594,160,85
world,20200208,37123,505,806,2729,327,87
world,20200209,40152,968,906,3029,463,100
world,20200210,42764,1534,1013,2612,566,107
world,20200211,44804,3575,1113,2040,2041,100
world,20200212,45223,4042,1118,419,467,5
world,20200213,60371,5493,1371,15148,1451,253
world,20200214,66888,6728,1523,6517,1235,152
world,20200215,69033,8301,1666,2145,1573,143
world,20200216,71227,12016,1770,2194,3716,104
world,20200217,73261,14412,1868,2034,2396,98
world,20200218,75139,17511,2007,1878,3099,139
world,20200219,75642,20416,2122,503,2905,115
world,20200220,76200,22866,2247,558,2450,125
world,20200221,76844,25722,2251,644,2872,4
world,20200222,78600,27743,2458,1756,2022,207
world,20200223,78981,30167,2469,386,2428,11
world,20200224,79618,32187,2629,639,2020,160
world,20200225,80465,34276,2708,847,2090,79
world,20200226,81451,34672,2770,986,398,62
world,20200227,82811,47175,2814,1360,12506,44
world,20200228,84220,52679,2872,1409,5504,58
world,20200229,86103,54765,2941,1891,2089,69
world,20200301,88444,57431,2996,2341,2667,55
world,20200302,90391,59622,3085,1947,2204,89
world,20200303,92952,61886,3160,2561,2268,75
world,20200304,95307,62990,3255,2355,1113,95
world,20200305,98028,64029,3349,2721,1042,94
world,20200306,101916,65196,3462,3898,1172,113
world,20200307,105925,67069,3563,4033,1878,101
world,20200308,109838,67853,3807,3913,795,244
world,20200309,113711,68771,3999,3875,922,192
world,20200310,118960,69727,4269,5249,966,278
world,20200311,126466,70408,4622,7506,683,353
world,20200312,129690,74228,4733,3224,3822,111
world,20200313,143507,76311,5392,13867,2087,659
world,20200314,157391,77793,5839,13884,1491,447
world,20200315,168348,79474,6473,10957,1682,634
world,20200316,183176,80915,7147,14862,1444,679
world,20200317,199484,82739,7946,16312,1827,799
world,20200318,217398,84075,8795,17914,1337,849
world,20200319,244955,85612,9902,27557,1551,1109
world,20200320,272772,87751,11319,27817,2153,1417
world,20200321,305192,90160,12992,32420,2453,1677
world,20200322,336756,92198,14646,31564,2049,1654
world,20200323,376601,94040,16414,39847,1987,1769
world,20200324,418907,96592,18718,42306,2566,2304
world,20200325,457194,101010,21277,38305,4432,2559
world,20200326,530226,102147,24276,73032,2197,3002
world,20200327,592083,109901,27415,61857,8078,3139
world,20200328,657881,117665,30914,65798,7783,3499
world,20200329,704048,124417,33955,46167,6982,3041
world,20200330,776165,133407,37725,72140,9073,3770
world,20200331,851693,142904,42393,75528,9522,4668
world,20200401,927497,153196,47557,75804,10337,5164
world,20200402,1009716,171003,53632,82220,17838,6075
world,20200403,1091004,188624,59295,81288,17645,5663
world,20200404,1173250,209849,65277,82247,21232,5983
world,20200405,1244682,231464,70021,71432,21630,4746
world,20200406,1312733,259362,74991,68051,27904,4971
world,20200407,1386886,287389,82586,74153,28032,7595
world,20200408,1474984,313198,89184,88098,25941,6598
world,20200409,1557257,366165,96520,82273,52971,7336
world,20200410,1654414,410377,103881,97157,44228,7361
world,20200411,1736566,459370,109973,82152,49003,6092
world,20200412,1811412,493404,115373,74846,34604,5404
world,20200413,1882244,548255,120604,70853,54874,5231
world,20200414,1946029,604840,127554,63785,56605,6952
world,20200415,2035720,660967,135571,89691,56132,8017
world,20200416,2115022,721562,145063,79302,60600,9492
world,20200417,2202553,780798,155554,87531,60512,10491
world,20200418,2290790,845810,161266,88237,65031,5712
world,20200419,2371982,901552,167349,81192,55743,6083
world,20200420,2447709,956666,172325,75727,55126,4976
world,20200421,2525252,1017594,178836,77543,60929,6615
world,20200422,2602919,1088701,185568,77726,71112,6733
world,20200423,2672552,1163656,190422,69633,74968,4854
world,20200424,2765564,1244575,199205,103148,80924,8783
world,20200425,2863044,1316752,205550,97480,72193,6345
world,20200426,2940807,1381739,209282,77916,64997,3734
world,20200427,3011653,1447875,213738,70847,66183,4456
world,20200428,3086296,1506921,220377,74748,59147,6639
world,20200429,3162135,1587492,226689,77256,80574,6312
world,20200430,3249556,1661391,232682,87423,73905,5993
world,20200501,3340689,1742567,237775,91133,81177,5093
world,20200502,3418244,1825086,242286,77722,82524,4511
world,20200503,3509097,1899953,246633,90853,74867,4347
world,20200504,3586721,1970309,250436,77624,70375,3803
world,20200505,3666330,2041486,256116,79610,71183,5680
world,20200506,3761086,2114881,262484,94756,73436,6369
world,20200507,3854923,2180955,268573,95420,66084,6089
world,20200508,3949578,2269875,273498,94655,96333,4925
world,20200509,4033884,2360083,277711,85533,90254,4213
world,20200510,4119203,2433346,281629,85328,73748,3918
world,20200511,4196250,2501012,284810,77104,67667,3181
world,20200512,4280814,2567939,290347,84564,67016,5543
world,20200513,4367479,2641794,295115,86688,74558,4768
world,20200514,4465162,2722135,300554,97684,80342,5439
world,20200515,4565647,2807279,305829,100485,85147,5275
world,20200516,4666316,2882467,310318,100669,75205,4489
world,20200517,4750472,2967981,313727,84156,85599,3409
world,20200518,4833382,3042114,316834,82910,74133,3107
world,20200519,4934931,3116478,321677,101549,74422,5060
world,20200520,5027576,3203686,325794,93379,87211,4117
world,20200521,5132630,3288414,330069,105158,85981,4275
world,20200522,5241100,3377282,335517,108470,90443,5448
world,20200523,5336343,3460452,339287,95243,84197,3770
world,20200524,5443984,3540454,343096,107641,80038,3809
world,20200525,5538697,3615390,343961,95085,74998,2785
world,20200526,5629928,3694196,347756,91231,78827,3795
world,20200527,5729051,3773973,352489,99123,79817,4733
world,20200528,5843428,3864639,357428,114402,90671,4939
world,20200529,5968911,3958511,362177,125483,93873,4749
world,20200530,6093085,4050181,366557,124174,91671,4380
world,20200531,6219649,4132164,370059,126564,82020,3502
world,20200601,6322556,4211533,372554,102907,79376,2498
world,20200602,6435076,4304474,376754,113286,92941,4200
world,20200603,6563468,4392705,381601,128394,88410,4847
world,20200604,6691418,4490342,386764,127950,97739,5163
world,20200605,6822738,4590796,392018,131320,100455,5254
world,20200606,6913320,4680975,394896,90582,90200,2879
world,20200607,7084585,4779386,399669,171265,98419,4773
world,20200608,7196846,4867066,403161,112261,87684,3509
world,20200609,7304206,4953128,407003,107360,86069,3842
world,20200610,7435650,5044943,411828,131444,91831,4841
world,20200611,7568754,5151265,416540,133104,106327,4714
world,20200612,7718551,5266807,421466,149797,115549,4926
world,20200613,7862536,5381907,425844,143985,115103,4378
world,20200614,7984411,5496672,429149,121875,114768,3305
world,20200615,8114827,5592178,432573,130416,95522,3424
world,20200616,8239140,5698573,436475,124313,107033,3902
world,20200617,8429487,5812492,443813,190347,113962,7338
world,20200618,8570781,5931082,448579,141294,118602,4766
world,20200619,8723604,6051641,454775,152971,121128,6199
world,20200620,8904511,6138525,459412,180907,86940,4637
world,20200621,9053641,6293285,463195,149130,154761,3783
world,20200622,9199824,6397893,467330,146183,104618,4137
world,20200623,9347029,6497697,471653,147205,99814,4323
world,20200624,9515733,6617442,476890,168705,119746,5268
world,20200625,9698827,6741785,481911,183094,124357,5021
world,20200626,9876694,6880098,488530,177867,138313,6619
world,20200627,10067516,7015811,492844,190822,135714,4316
world,20200628,10251726,7134508,496957,184210,118698,4115
world,20200629,10392635,7256545,499832,140909,122116,2875
world,20200630,10587692,7373183,505143,195057,116641,5311
world,20200701,10738580,7546897,509382,150888,173718,4239
world,20200702,10983890,7680082,514836,245310,133192,5454
world,20200703,11182873,7823332,520102,228190,143303,5266
world,20200704,11375530,7981798,524472,192658,158531,4370
world,20200705,11580229,8130685,529137,204699,148898,4670
world,20200706,11739045,8267218,531999,158816,136533,2863
world,20200707,11934665,8401480,536985,195653,134275,4986
world,20200708,12149071,8557035,542682,214406,155556,5701
world,20200709,12359334,8725025,547798,210263,168000,5116
world,20200710,12618566,8891553,553505,259232,166538,5708
world,20200711,12857028,9067943,558583,238462,176392,5078
world,20200712,13065613,9235039,563222,208585,167136,4639
world,20200713,13267089,9370053,567014,201476,135023,3792
world,20200714,13452063,9546763,571210,184974,176710,4198
world,20200715,13694523,9699699,577074,242465,152938,5865
world,20200716,13930712,9918911,582359,236192,219213,5285
world,20200717,14191344,10101958,589071,260632,206171,6712
world,20200718,14394121,10287411,593915,202777,185539,4952
